,Rank_offense,Team,Plays_offense,YDS_offense,Yds/Play_offense,Off TDs_offense,TDs,YPG_offense,Rank_defense,Plays_defense,YDS_defense,Yds/Play_defense,Off TDs_defense,Opp TDs,YPG_defense,_merge,Conference,Win_Loss,Games,starting_year
0,91,Air Force,811,"4,411",5.44,38,38,367.6,114,918,"5,883",6.41,67,67,490.3,both,Mountain West,2-10,12,2013
1,106,Akron,837,"4,104",4.9,30,31,342.0,59,865,"4,764",5.51,43,44,397.0,both,MAC,5-7,12,2013
2,33,Alabama,826,"5,903",7.15,58,65,454.1,5,771,"3,725",4.83,21,23,286.5,both,SEC,11-2,13,2013
3,31,Arizona,"1,030","5,960",5.79,52,57,458.5,62,991,"5,214",5.26,38,39,401.1,both,Pac-12,8-5,13,2013
4,32,Arizona State,"1,102","6,402",5.81,64,69,457.3,42,942,"5,213",5.53,45,48,372.4,both,Pac-12,10-4,14,2013
5,99,Arkansas,775,"4,286",5.53,29,30,357.2,76,814,"4,961",6.09,46,49,413.4,both,SEC,3-9,12,2013
6,65,Arkansas State,947,"5,301",5.6,45,48,407.8,74,929,"5,370",5.78,42,43,413.1,both,Sun Belt,8-5,13,2013
7,79,Army West Point,847,"4,648",5.49,38,38,387.3,71,753,"4,930",6.55,48,49,410.8,both,FBS Independent,3-9,12,2013
8,11,Auburn,"1,014","7,018",6.92,68,73,501.3,86,989,"5,890",5.96,38,41,420.7,both,SEC,12-2,14,2013
9,14,BYU,"1,111","6,417",5.78,43,47,493.6,47,"1,028","4,925",4.79,30,33,378.8,both,FBS Independent,8-5,13,2013
10,19,Ball State,960,"6,202",6.46,63,64,477.1,77,965,"5,380",5.58,36,39,413.8,both,MAC,10-3,13,2013
11,1,Baylor,"1,074","8,044",7.49,82,91,618.8,28,986,"4,684",4.75,38,41,360.3,both,Big 12,11-2,13,2013
12,20,Boise State,"1,029","6,188",6.01,61,63,476.0,75,"1,023","5,374",5.25,36,41,413.4,both,Mountain West,8-5,13,2013
13,92,Boston College,791,"4,774",6.04,41,43,367.2,92,941,"5,577",5.93,45,48,429.0,both,ACC,7-6,13,2013
14,29,Bowling Green,983,"6,432",6.54,57,62,459.4,10,890,"4,500",5.06,27,29,321.4,both,MAC,10-4,14,2013
15,77,Buffalo,965,"5,131",5.32,46,51,394.7,49,890,"4,976",5.59,39,40,382.8,both,MAC,8-5,13,2013
16,34,California,"1,045","5,443",5.21,32,32,453.6,122,898,"6,355",7.08,64,72,529.6,both,Pac-12,1-11,12,2013
17,108,Central Mich.,756,"4,093",5.41,31,35,341.1,66,831,"4,862",5.85,39,43,405.2,both,MAC,6-6,12,2013
18,23,Cincinnati,985,"6,137",6.23,56,57,472.1,9,861,"4,103",4.77,28,34,315.6,both,AAC,9-4,13,2013
19,10,Clemson,"1,037","6,600",6.36,65,69,507.7,25,921,"4,637",5.03,36,37,356.7,both,ACC,11-2,13,2013
20,87,Colorado,832,"4,439",5.34,31,36,369.9,106,924,"5,616",6.08,55,58,468.0,both,Pac-12,4-8,12,2013
21,24,Colorado State,"1,051","6,591",6.27,61,63,470.8,80,"1,012","5,828",5.76,49,52,416.3,both,Mountain West,8-6,14,2013
22,47,Duke,"1,016","5,966",5.87,54,60,426.1,82,"1,033","5,852",5.67,42,48,418.0,both,ACC,10-4,14,2013
23,25,East Carolina,"1,028","6,086",5.92,65,68,468.2,36,979,"4,794",4.9,36,39,368.8,both,C-USA,10-3,13,2013
24,109,Eastern Mich.,781,"4,033",5.16,27,30,336.1,118,806,"6,130",7.61,66,71,510.8,both,MAC,2-10,12,2013
25,123,FIU,738,"2,628",3.56,13,13,219.0,94,784,"5,156",6.58,54,57,429.7,both,C-USA,1-11,12,2013
26,82,Fla. Atlantic,852,"4,575",5.37,37,41,381.3,11,801,"3,911",4.88,29,32,325.9,both,C-USA,6-6,12,2013
27,113,Florida,793,"3,800",4.79,25,27,316.7,8,712,"3,771",5.3,26,27,314.3,both,SEC,4-8,12,2013
28,6,Florida State,947,"7,267",7.67,84,94,519.1,3,963,"3,940",4.09,21,21,281.4,both,ACC,14-0,14,2013
29,3,Fresno State,"1,088","7,122",6.55,71,76,547.8,95,992,"5,600",5.65,48,51,430.8,both,Mountain West,11-2,13,2013
30,17,Georgia,945,"6,294",6.66,57,58,484.2,45,902,"4,882",5.41,43,47,375.5,both,SEC,8-5,13,2013
31,44,Georgia Tech,916,"5,586",6.1,58,61,429.7,27,849,"4,683",5.52,36,38,360.2,both,ACC,7-6,13,2013
32,57,Hawaii,947,"4,992",5.27,43,44,416.0,115,994,"5,936",5.97,54,59,494.7,both,Mountain West,1-11,12,2013
33,55,Houston,953,"5,454",5.72,49,54,419.5,79,"1,034","5,405",5.23,33,34,415.8,both,AAC,8-5,13,2013
34,90,Idaho,925,"4,420",4.78,27,27,368.3,121,917,"6,353",6.93,72,76,529.4,both,FBS Independent,1-11,12,2013
35,46,Illinois,866,"5,120",5.91,43,45,426.7,110,867,"5,778",6.66,54,55,481.5,both,Big Ten,4-8,12,2013
36,9,Indiana,928,"6,102",6.58,61,62,508.5,120,940,"6,335",6.74,59,63,527.9,both,Big Ten,5-7,12,2013
37,84,Iowa,932,"4,901",5.26,37,42,377.0,6,861,"3,940",4.58,28,30,303.1,both,Big Ten,8-5,13,2013
38,96,Iowa State,903,"4,356",4.82,35,37,363.0,105,918,"5,557",6.05,50,56,463.1,both,Big 12,3-9,12,2013
39,117,Kansas,825,"3,534",4.28,21,22,294.5,96,892,"5,191",5.82,45,48,432.6,both,Big 12,3-9,12,2013
40,71,Kansas State,828,"5,235",6.32,51,56,402.7,26,919,"4,665",5.08,33,35,358.8,both,Big 12,8-5,13,2013
41,88,Kent State,797,"4,427",5.55,30,31,368.9,70,813,"4,919",6.05,40,40,409.9,both,MAC,4-8,12,2013
42,107,Kentucky,774,"4,094",5.29,30,30,341.2,91,819,"5,126",6.26,48,49,427.2,both,SEC,2-10,12,2013
43,35,LSU,849,"5,893",6.94,60,61,453.3,15,872,"4,429",5.08,30,32,340.7,both,SEC,10-3,13,2013
44,56,Louisiana,883,"5,418",6.14,54,59,416.8,56,888,"5,116",5.76,37,43,393.5,both,Sun Belt,9-4,13,2013
45,94,Louisiana Tech,858,"4,394",5.12,24,25,366.2,69,925,"4,899",5.3,37,39,408.3,both,C-USA,4-8,12,2013
46,28,Louisville,894,"5,991",6.7,51,57,460.8,1,779,"3,269",4.2,18,18,251.5,both,AAC,12-1,13,2013
47,12,Marshall,"1,093","7,005",6.41,76,80,500.4,35,"1,053","5,160",4.9,37,40,368.6,both,C-USA,10-4,14,2013
48,75,Maryland,891,"5,160",5.79,36,39,396.9,44,957,"4,867",5.09,38,38,374.4,both,ACC,7-6,13,2013
49,120,Massachusetts,787,"3,379",4.29,14,15,281.6,98,788,"5,199",6.6,45,50,433.3,both,MAC,1-11,12,2013
50,116,Memphis,799,"3,738",4.68,23,27,311.5,39,857,"4,448",5.19,34,37,370.7,both,AAC,3-9,12,2013
51,48,Miami,820,"5,536",6.75,50,57,425.8,89,964,"5,543",5.75,42,43,426.4,both,FL ,9-4,13,2013
52,122,Miami,737,"2,710",3.68,13,14,225.8,113,915,"5,811",6.35,52,55,484.3,both,OH ,0-12,12,2013
53,86,Michigan,893,"4,855",5.44,48,52,373.5,41,912,"4,829",5.29,37,40,371.5,both,Big Ten,7-6,13,2013
54,80,Michigan State,999,"5,397",5.4,46,51,385.5,2,873,"3,531",4.04,20,21,252.2,both,Big Ten,13-1,14,2013
55,66,Middle Tenn.,929,"5,298",5.7,42,49,407.5,63,987,"5,235",5.3,41,43,402.7,both,C-USA,8-5,13,2013
56,105,Minnesota,853,"4,463",5.23,35,42,343.3,43,858,"4,852",5.66,35,36,373.2,both,Big Ten,8-5,13,2013
57,42,Mississippi State,956,"5,647",5.91,47,48,434.4,18,833,"4,541",5.45,35,36,349.3,both,SEC,7-6,13,2013
58,16,Missouri,"1,042","6,870",6.59,66,71,490.7,81,"1,080","5,848",5.41,38,39,417.7,both,SEC,12-2,14,2013
59,70,NC State,945,"4,842",5.12,28,31,403.5,61,814,"4,793",5.89,45,48,399.4,both,ACC,3-9,12,2013
60,5,NIU,"1,073","7,277",6.78,68,71,519.8,78,"1,068","5,808",5.44,41,43,414.9,both,MAC,12-2,14,2013
61,61,Navy,921,"5,347",5.81,58,58,411.3,57,908,"5,132",5.65,40,41,394.8,both,FBS Independent,9-4,13,2013
62,58,Nebraska,962,"5,361",5.57,49,54,412.4,40,926,"4,820",5.21,38,38,370.8,both,Big Ten,9-4,13,2013
63,45,Nevada,974,"5,151",5.29,40,41,429.3,117,852,"6,064",7.12,53,54,505.3,both,Mountain West,4-8,12,2013
64,53,New Mexico,781,"5,062",6.48,49,53,421.8,119,836,"6,199",7.42,70,71,516.6,both,Mountain West,3-9,12,2013
65,81,New Mexico State,851,"4,622",5.43,32,32,385.2,123,862,"6,594",7.65,66,71,549.5,both,FBS Independent,2-10,12,2013
66,49,North Carolina,943,"5,534",5.87,47,55,425.7,64,993,"5,241",5.28,35,38,403.2,both,ACC,7-6,13,2013
67,63,North Texas,951,"5,336",5.61,47,55,410.5,17,881,"4,528",5.14,25,30,348.3,both,C-USA,9-4,13,2013
68,73,Northwestern,889,"4,795",5.39,31,35,399.6,88,930,"5,082",5.46,36,40,423.5,both,Big Ten,5-7,12,2013
69,67,Notre Dame,869,"5,280",6.08,39,42,406.2,31,930,"4,760",5.12,32,34,366.2,both,FBS Independent,9-4,13,2013
70,83,Ohio,887,"4,932",5.56,38,43,379.4,67,918,"5,276",5.75,45,46,405.8,both,MAC,7-6,13,2013
71,7,Ohio State,"1,003","7,167",7.15,83,87,511.9,46,"1,000","5,284",5.28,40,42,377.4,both,Big Ten,12-2,14,2013
72,52,Oklahoma,942,"5,499",5.84,43,50,423.0,20,846,"4,552",5.38,34,36,350.2,both,Big 12,11-2,13,2013
73,37,Oklahoma State,987,"5,834",5.91,61,68,448.8,52,"1,049","5,004",4.77,27,33,384.9,both,Big 12,10-3,13,2013
74,21,Ole Miss,"1,018","6,153",6.04,46,49,473.3,38,917,"4,816",5.25,37,38,370.5,both,SEC,8-5,13,2013
75,2,Oregon,973,"7,345",7.55,74,81,565.0,37,"1,042","4,811",4.62,31,32,370.1,both,Pac-12,11-2,13,2013
76,26,Oregon State,980,"6,071",6.19,53,59,467.0,100,924,"5,676",6.14,48,51,436.6,both,Pac-12,7-6,13,2013
77,43,Penn State,910,"5,198",5.71,43,43,433.2,48,864,"4,576",5.3,34,38,381.3,both,Big Ten,7-5,12,2013
78,97,Pittsburgh,853,"4,708",5.52,41,43,362.2,34,865,"4,778",5.52,39,43,367.5,both,ACC,7-6,13,2013
79,119,Purdue,745,"3,395",4.56,21,23,282.9,104,886,"5,519",6.23,55,61,459.9,both,Big Ten,1-11,12,2013
