,Rank_offense,Team,Plays_offense,YDS_offense,Yds/Play_offense,Off TDs_offense,YPG_offense,Rank_defense,Plays_defense,YDS_defense,Yds/Play_defense,Off TDs_defense,Opp TDs,YPG_defense,_merge,Conference,Win_Loss,Games,starting_year
0,77,Air Force,826,"4,765",5.77,43,366.5,6,738,"3,610",4.89,29,30,277.7,both,Mountain West,9-4,13,2023
1,126,Akron,771,"3,343",4.34,22,278.6,31,776,"4,020",5.18,42,43,335.0,both,MAC,2-10,12,2023
2,56,Alabama,886,"5,503",6.21,55,393.1,18,883,"4,424",5.01,32,32,316.0,both,SEC,12-2,14,2023
3,22,App State,"1,006","6,238",6.2,57,445.6,63,924,"5,302",5.74,43,48,378.7,both,Sun Belt,9-5,14,2023
4,20,Arizona,862,"5,824",6.76,53,448.0,48,855,"4,653",5.44,34,34,357.9,both,Pac-12,10-3,13,2023
5,109,Arizona State,814,"3,867",4.75,25,322.2,89,800,"4,762",5.95,44,46,396.8,both,Pac-12,3-9,12,2023
6,105,Arkansas,795,"3,918",4.93,31,326.5,46,755,"4,286",5.68,36,40,357.2,both,SEC,4-8,12,2023
7,72,Arkansas State,829,"4,857",5.86,37,373.6,124,936,"5,767",6.16,47,49,443.6,both,Sun Belt,6-7,13,2023
8,117,Army West Point,738,"3,730",5.05,26,310.8,51,743,"4,370",5.88,31,31,364.2,both,FBS Independent,6-6,12,2023
9,90,Auburn,830,"4,566",5.5,40,351.2,45,822,"4,643",5.65,34,36,357.2,both,SEC,6-7,13,2023
10,118,BYU,756,"3,717",4.92,32,309.8,106,847,"5,012",5.92,39,45,417.7,both,Big 12,5-7,12,2023
11,119,Ball State,777,"3,697",4.76,24,308.1,17,732,"3,790",5.18,32,35,315.8,both,MAC,4-8,12,2023
12,71,Baylor,855,"4,534",5.3,28,377.8,110,768,"5,056",6.58,49,52,421.3,both,Big 12,3-9,12,2023
13,26,Boise State,932,"6,106",6.55,54,436.1,71,892,"5,392",6.04,42,45,385.1,both,Mountain West,8-6,14,2023
14,68,Boston College,908,"4,956",5.46,40,381.2,70,796,"5,006",6.29,49,49,385.1,both,ACC,7-6,13,2023
15,107,Bowling Green,787,"4,237",5.38,39,325.9,25,809,"4,239",5.24,37,40,326.1,both,MAC,7-6,13,2023
16,113,Buffalo,829,"3,825",4.61,29,318.8,53,760,"4,405",5.8,37,40,367.1,both,MAC,3-9,12,2023
17,61,California,931,"5,082",5.46,48,390.9,102,942,"5,383",5.71,53,55,414.1,both,Pac-12,6-7,13,2023
18,96,Central Mich.,780,"4,129",5.29,36,344.1,98,771,"4,885",6.34,44,47,407.1,both,MAC,5-7,12,2023
19,115,Charlotte,792,"3,753",4.74,23,312.8,59,769,"4,490",5.84,39,40,374.2,both,AAC,3-9,12,2023
20,33,Cincinnati,877,"5,113",5.83,35,426.1,93,725,"4,833",6.67,44,46,402.8,both,Big 12,3-9,12,2023
21,50,Clemson,998,"5,235",5.25,44,402.7,8,797,"3,742",4.7,30,34,287.8,both,ACC,9-4,13,2023
22,40,Coastal Carolina,875,"5,411",6.18,41,416.2,64,853,"4,934",5.78,36,38,379.5,both,Sun Belt,8-5,13,2023
23,80,Colorado,832,"4,363",5.24,41,363.6,127,868,"5,440",6.27,52,56,453.3,both,Pac-12,4-8,12,2023
24,54,Colorado State,833,"4,784",5.74,34,398.7,104,874,"4,991",5.71,38,41,415.9,both,Mountain West,5-7,12,2023
25,94,Duke,805,"4,525",5.62,40,348.1,41,890,"4,585",5.15,26,27,352.7,both,ACC,8-5,13,2023
26,127,East Carolina,773,"3,327",4.3,19,277.2,37,781,"4,096",5.24,32,33,341.3,both,AAC,2-10,12,2023
27,129,Eastern Mich.,786,"3,416",4.35,28,262.8,92,900,"5,221",5.8,41,42,401.6,both,MAC,6-7,13,2023
28,111,FIU,763,"3,835",5.03,29,319.6,119,876,"5,240",5.98,43,46,436.7,both,CUSA,4-8,12,2023
29,100,Fla. Atlantic,781,"3,969",5.08,35,330.8,90,889,"4,768",5.36,35,37,397.3,both,AAC,4-8,12,2023
30,46,Florida,811,"4,909",6.05,41,409.1,69,712,"4,587",6.44,39,40,382.2,both,SEC,5-7,12,2023
31,52,Florida State,896,"5,622",6.27,57,401.6,28,925,"4,647",5.02,29,32,331.9,both,ACC,13-1,14,2023
32,62,Fresno State,884,"5,041",5.7,45,387.8,56,901,"4,821",5.35,35,37,370.8,both,Mountain West,9-4,13,2023
33,37,Ga. Southern,954,"5,453",5.72,42,419.5,88,850,"5,147",6.06,50,51,395.9,both,Sun Belt,6-7,13,2023
34,5,Georgia,958,"6,951",7.26,69,496.5,9,848,"4,047",4.77,26,26,289.1,both,SEC,13-1,14,2023
35,55,Georgia State,880,"5,113",5.81,45,393.3,113,879,"5,529",6.29,48,51,425.3,both,Sun Belt,7-6,13,2023
