Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
1,Boston College (ACC),12,3-9,750,"3,052",4.07,15,19,254.3
2,Wisconsin (Big Ten),13,10-3,791,"3,491",4.41,20,22,268.5
3,Alabama (SEC),15,14-1,963,"4,145",4.30,24,26,276.3
4,Michigan (Big Ten),13,10-3,818,"3,649",4.46,20,24,280.7
5,San Diego St. (Mountain West),14,11-3,863,"4,022",4.66,28,29,287.3
6,Missouri (SEC),12,5-7,838,"3,624",4.32,21,22,302
7,Georgia (SEC),13,10-3,835,"3,977",4.76,22,26,305.9
8,Florida (SEC),14,10-4,933,"4,343",4.65,29,30,310.2
9,Ohio St. (Big Ten),13,12-1,899,"4,047",4.50,24,24,311.3
10,Clemson (ACC),15,14-1,968,"4,695",4.85,37,41,313
11,App State (Sun Belt),13,11-2,871,"4,088",4.69,25,29,314.5
12,Boise St. (Mountain West),13,9-4,851,"4,138",4.86,28,33,318.3
13,Northwestern (Big Ten),13,10-3,915,"4,146",4.53,26,30,318.9
14,Penn St. (Big Ten),13,7-6,883,"4,218",4.78,33,37,324.5
15,Akron (),13,8-5,888,"4,310",4.85,35,37,331.5
16,Central Mich. (MAC),13,7-6,841,"4,319",5.14,34,37,332.2
17,Utah St. (Mountain West),13,6-7,891,"4,322",4.85,43,45,332.5
18,Louisville (ACC),13,8-5,898,"4,326",4.82,34,39,332.8
19,Florida St. (ACC),13,10-3,936,"4,380",4.68,24,26,336.9
20,Temple (AAC),14,10-4,937,"4,718",5.04,29,31,337
21,Ga. Southern (Sun Belt),13,9-4,803,"4,395",5.47,35,39,338.1
22,Iowa (Big Ten),14,12-2,962,"4,774",4.96,28,32,341
23,BYU (FBS Independent),13,9-4,918,"4,494",4.90,34,38,345.7
24,Minnesota (Big Ten),13,6-7,917,"4,497",4.90,36,40,345.9
25,LSU (SEC),12,9-3,806,"4,166",5.17,36,38,347.2
26,Michigan St. (Big Ten),14,12-2,895,"4,898",5.47,36,39,349.9
27,Kent St. (MAC),12,3-9,864,"4,201",4.86,37,40,350.1
28,Vanderbilt (SEC),12,4-8,814,"4,206",5.17,22,26,350.5
29,NC State (ACC),13,7-6,828,"4,559",5.51,42,43,350.7
30,Illinois (Big Ten),12,5-7,860,"4,210",4.90,33,34,350.8
31,Washington (Pac-12),13,7-6,933,"4,574",4.90,26,28,351.8
32,Air Force (Mountain West),14,8-6,870,"4,968",5.71,43,45,354.9
33,UConn (AAC),13,6-7,887,"4,616",5.20,27,29,355.1
34,San Jose St. (Mountain West),13,6-7,832,"4,661",5.60,45,46,358.5
35,Marshall (C-USA),13,10-3,997,"4,680",4.69,27,28,360
36,Tennessee (SEC),13,9-4,904,"4,706",5.21,30,33,362
37,Pittsburgh (ACC),13,8-5,829,"4,721",5.69,36,38,363.2
38,Wake Forest (ACC),12,3-9,784,"4,365",5.57,33,37,363.8
39,Oklahoma (Big 12),13,11-2,989,"4,738",4.79,34,34,364.5
40,Navy (AAC),13,11-2,839,"4,744",5.65,33,36,364.9
41,Utah (Pac-12),13,10-3,921,"4,768",5.18,33,35,366.8
42,Georgia Tech (ACC),12,3-9,759,"4,416",5.82,36,38,368
43,Stanford (Pac-12),14,12-2,926,"5,156",5.57,35,36,368.3
44,Virginia Tech (ACC),13,7-6,867,"4,808",5.55,40,42,369.8
45,Notre Dame (FBS Independent),13,10-3,870,"4,845",5.57,39,40,372.7
