Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,TDs,YPG
1,Baylor (Big 12),13,11-2,"1,138","7,559",6.64,81,82,581.5
2,Marshall (C-USA),14,13-1,"1,032","7,829",7.59,80,84,559.2
3,Oregon (Pac-12),15,13-2,"1,118","8,205",7.34,86,90,547
4,Western Ky. (C-USA),13,8-5,986,"6,950",7.05,70,76,534.6
5,East Carolina (AAC),13,8-5,"1,070","6,929",6.48,59,61,533
5,TCU (Big 12),13,12-1,"1,038","6,929",6.68,69,77,533
7,Washington St. (Pac-12),12,3-9,"1,014","6,210",6.12,50,50,517.5
8,Mississippi St. (SEC),13,10-3,"1,001","6,679",6.67,60,64,513.8
9,Ohio St. (Big Ten),15,14-1,"1,099","7,674",6.98,83,90,511.6
10,Texas Tech (Big 12),12,4-8,914,"6,049",6.62,48,49,504.1
11,Michigan St. (Big Ten),13,11-2,994,"6,510",6.55,70,74,500.8
12,West Virginia (Big 12),13,7-6,"1,097","6,497",5.92,44,49,499.8
13,California (Pac-12),12,5-7,975,"5,942",6.09,59,61,495.2
14,Boise St. (Mountain West),14,12-2,"1,060","6,920",6.53,66,73,494.3
15,Toledo (MAC),13,9-4,973,"6,377",6.55,59,61,490.5
16,Auburn (SEC),13,8-5,939,"6,305",6.71,55,58,485
17,Alabama (SEC),14,12-2,"1,018","6,783",6.66,67,68,484.5
18,Colorado St. (Mountain West),13,10-3,882,"6,252",7.09,58,58,480.9
19,Georgia Tech (ACC),14,11-3,993,"6,671",6.72,66,72,476.5
20,Arkansas St. (Sun Belt),13,7-6,"1,024","6,194",6.05,60,65,476.5
21,Wisconsin (Big Ten),14,11-3,970,"6,564",6.77,61,61,468.9
22,UCLA (Pac-12),13,10-3,992,"6,082",6.13,50,55,467.8
23,Oklahoma (Big 12),13,8-5,943,"6,041",6.41,57,62,464.7
24,Texas St. (Sun Belt),12,7-5,920,"5,573",6.06,51,53,464.4
25,Arizona (Pac-12),14,10-4,"1,139","6,491",5.70,55,61,463.6
26,BYU (FBS Independent),13,8-5,"1,050","5,986",5.70,60,63,460.5
27,Cincinnati (AAC),13,9-4,945,"5,982",6.33,53,57,460.2
28,Georgia (SEC),13,10-3,877,"5,951",6.79,62,70,457.8
29,Southern California (Pac-12),13,9-4,984,"5,948",6.04,57,63,457.5
30,Texas A&M (SEC),13,8-5,935,"5,920",6.33,59,60,455.4
31,Nebraska (Big Ten),13,9-4,946,"5,880",6.22,59,64,452.3
32,Notre Dame (FBS Independent),13,8-5,947,"5,784",6.11,54,55,444.9
33,South Carolina (SEC),13,7-6,947,"5,764",6.09,51,53,443.4
34,Arizona St. (Pac-12),13,10-3,975,"5,750",5.90,54,59,442.3
35,Florida St. (ACC),14,13-1,967,"6,179",6.39,53,56,441.4
36,NIU (MAC),14,11-3,"1,073","6,177",5.76,55,56,441.2
37,Colorado (Pac-12),12,2-10,996,"5,270",5.29,42,42,439.2
38,Buffalo (MAC),11,5-6,810,"4,820",5.95,48,49,438.2
39,Western Mich. (MAC),13,8-5,875,"5,696",6.51,55,57,438.2
40,Pittsburgh (),13,6-7,918,"5,660",6.17,52,52,435.4
41,Bowling Green (MAC),14,8-6,"1,103","6,061",5.50,47,51,432.9
42,UAB (C-USA),12,6-6,941,"5,182",5.51,44,52,431.8
43,Middle Tenn. (C-USA),12,6-6,873,"5,176",5.93,48,51,431.3
44,Miami (FL) (ACC),13,6-7,837,"5,594",6.68,45,47,430.3
45,North Carolina (ACC),13,6-7,"1,005","5,587",5.56,55,60,429.8
46,Memphis (AAC),13,10-3,"1,012","5,552",5.49,54,58,427.1
47,Kansas St. (Big 12),13,9-4,891,"5,481",6.15,53,57,421.6
48,Massachusetts (MAC),12,3-9,879,"5,053",5.75,43,45,421.1
49,New Mexico St. (Sun Belt),12,2-10,921,"5,051",5.48,38,39,420.9
50,Navy (FBS Independent),13,8-5,857,"5,453",6.36,54,55,419.5
51,Ole Miss (),13,9-4,904,"5,448",6.03,45,49,419.1
52,Air Force (Mountain West),13,10-3,"1,002","5,443",5.43,49,50,418.7
53,Idaho (Sun Belt),11,1-10,881,"4,592",5.21,35,35,417.5
54,Louisiana (Sun Belt),13,9-4,918,"5,426",5.91,46,47,417.4
55,Houston (AAC),13,8-5,945,"5,383",5.70,46,49,414.1
56,Tulsa (AAC),12,2-10,958,"4,950",5.17,34,37,412.5
57,NC State (ACC),13,8-5,889,"5,311",5.97,50,51,408.5
58,Clemson (ACC),13,10-3,990,"5,308",5.36,43,48,408.3
59,Fresno St. (Mountain West),14,6-8,"1,096","5,685",5.19,47,49,406.1
60,Arkansas (SEC),13,7-6,916,"5,278",5.76,52,56,406
