Rank, Team, G, W-L, Plays, YDS, Yds/Play, Off TDs, TDs, YPG
1, Texas Tech (Big 12), 12, 5-7, 1,042, 6,774, 6.50, 69, 564.5
2, Oklahoma (Big 12), 13, 11-2, 957, 7,212, 7.54, 73, 554.8
3, Louisville (ACC), 13, 9-4, 961, 6,925, 7.21, 69, 532.7
4, Tulsa (AAC), 13, 10-3, 1,114, 6,851, 6.15, 66, 527.0
5, Western Ky. (C-USA), 14, 11-3, 958, 7,324, 7.65, 77, 523.1
6, Baylor (Big 12), 13, 7-6, 1,108, 6,795, 6.13, 58, 522.7
7, Toledo (MAC), 13, 9-4, 935, 6,731, 7.20, 63, 517.8
8, Middle Tenn. (C-USA), 13, 8-5, 973, 6,730, 6.92, 65, 517.7
9, Louisiana Tech (C-USA), 14, 9-5, 960, 7,206, 7.51, 73, 514.7
10, California (Pac-12), 12, 5-7, 1,035, 6,158, 5.95, 53, 513.2
11, South Fla. (AAC), 13, 11-2, 928, 6,650, 7.17, 73, 511.5
12, Clemson (ACC), 15, 14-1, 1,220, 7,555, 6.19, 75, 503.7
13, Missouri (SEC), 12, 4-8, 948, 6,006, 6.34, 49, 500.5
14, Oklahoma St. (Big 12), 13, 10-3, 956, 6,432, 6.73, 61, 494.8
15, Oregon (Pac-12), 12, 4-8, 892, 5,900, 6.61, 57, 491.7
16, Texas (Big 12), 12, 5-7, 999, 5,895, 5.90, 48, 491.3
17, West Virginia (Big 12), 13, 10-3, 983, 6,312, 6.42, 50, 485.5
18, Washington St. (Pac-12), 13, 8-5, 1,026, 6,273, 6.11, 63, 482.5
19, Western Mich. (MAC), 14, 13-1, 1,012, 6,737, 6.66, 69, 481.2
20, Southern California (Pac-12), 13, 10-3, 969, 6,202, 6.40, 51, 477.1
21, Boise St. (Mountain West), 13, 10-3, 899, 6,146, 6.84, 57, 472.8
21, Southern Miss. (C-USA), 13, 7-6, 1,022, 6,146, 6.01, 52, 472.8
23, East Carolina (AAC), 12, 3-9, 958, 5,605, 5.85, 39, 467.1
24, Texas A&M (SEC), 13, 8-5, 953, 6,071, 6.37, 53, 467.0
25, Florida St. (ACC), 13, 10-3, 939, 6,063, 6.46, 56, 466.4
26, Ole Miss (SEC), 12, 5-7, 905, 5,572, 6.16, 44, 464.3
27, NIU (MAC), 12, 5-7, 949, 5,565, 5.86, 47, 463.8
28, Memphis (AAC), 13, 8-5, 964, 6,028, 6.25, 57, 463.7
29, TCU (Big 12), 13, 6-7, 991, 6,021, 6.08, 48, 463.2
30, Colorado St. (Mountain West), 13, 7-6, 900, 6,012, 6.68, 59, 462.5
31, Ohio St. (Big Ten), 13, 11-2, 992, 5,969, 6.02, 59, 459.2
32, Washington (Pac-12), 14, 12-2, 937, 6,397, 6.83, 71, 456.9
33, New Mexico (Mountain West), 13, 9-4, 867, 5,939, 6.85, 59, 456.8
34, Alabama (SEC), 15, 14-1, 1,056, 6,829, 6.47, 59, 455.3
35, Eastern Mich. (MAC), 13, 7-6, 999, 5,917, 5.92, 46, 455.2
36, Air Force (Mountain West), 13, 10-3, 977, 5,878, 6.02, 53, 452.2
37, Ball St. (MAC), 12, 4-8, 955, 5,390, 5.64, 39, 449.2
38, Pittsburgh (ACC), 13, 8-5, 866, 5,808, 6.71, 64, 446.8
39, Virginia Tech (ACC), 14, 10-4, 1,087, 6,229, 5.73, 58, 444.9
40, Tennessee (SEC), 13, 9-4, 896, 5,768, 6.44, 59, 443.7
41, Houston (AAC), 13, 9-4, 1,084, 5,764, 5.32, 53, 443.4
42, Syracuse (ACC), 12, 4-8, 971, 5,290, 5.45, 39, 440.8
43, Auburn (SEC), 13, 8-5, 934, 5,730, 6.13, 45, 440.8
44, Mississippi St. (SEC), 13, 6-7, 943, 5,723, 6.07, 48, 440.2
45, North Carolina (ACC), 13, 8-5, 860, 5,707, 6.64, 51, 439.0
46, Navy (AAC), 14, 9-5, 900, 6,136, 6.82, 70, 438.3
47, Colorado (Pac-12), 14, 10-4, 1,104, 6,120, 5.54, 51, 437.1
48, Wyoming (Mountain West), 14, 8-6, 1,006, 6,083, 6.05, 60, 434.5
49, Penn St. (Big Ten), 14, 11-3, 931, 6,056, 6.50, 63, 432.6
50, Old Dominion (C-USA), 13, 10-3, 874, 5,601, 6.41, 58, 430.8
51, Utah (Pac-12), 13, 9-4, 969, 5,599, 5.78, 41, 430.7
52, App State (Sun Belt), 13, 10-3, 912, 5,589, 6.13, 45, 429.9
53, Troy (Sun Belt), 13, 10-3, 977, 5,585, 5.72, 53, 429.6
54, Arkansas (SEC), 13, 7-6, 923, 5,569, 6.03, 47, 428.4
55, SMU (AAC), 12, 5-7, 934, 5,127, 5.49, 36, 427.3
56, Indiana (Big Ten), 13, 6-7, 990, 5,538, 5.59, 39, 426.0
57, Miami (FL) (ACC), 13, 9-4, 861, 5,537, 6.43, 51, 425.9
58, Michigan (Big Ten), 13, 10-3, 944, 5,524, 5.85, 61, 424.9
59, LSU (SEC), 12, 8-4, 757, 5,077, 6.71, 42, 423.1
60, Iowa St. (Big 12), 12, 3-9, 856, 5,059, 5.91, 39, 421.6
61, Kentucky (SEC), 13, 7-6, 872, 5,463, 6.26, 47, 420.2
62, Notre Dame (FBS Independent), 12, 4-8, 826, 5,011, 6.07, 45, 417.6
63, NC State (ACC), 13, 7-6, 942, 5,413, 5.75, 43, 416.4
64, New Mexico St. (Sun Belt), 12, 3-9, 914, 4,976, 5.44, 35, 414.7
65, Army West Point (FBS Independent), 13, 8-5, 913, 5,381, 5.89, 53, 413.9
66, Temple (AAC), 14, 10-4, 967, 5,790, 5.99, 53, 413.6
67, Arizona (Pac-12), 12, 3-9, 815, 4,957, 6.08, 39, 413.1
68, San Diego St. (Mountain West), 14, 11-3, 892, 5,703, 6.39, 54, 407.4
69, Bowling Green (MAC), 12, 4-8, 952, 4,883, 5.13, 37, 406.9
70, UNLV (Mountain West), 12, 4-8, 815, 4,853, 5.95, 44, 404.4
71, BYU (FBS Independent), 13, 9-4, 956, 5,188, 5.43, 43, 399.1
72, Fla. Atlantic (C-USA), 12, 3-9, 838, 4,779, 5.70, 40, 398.3
73, Northwestern (Big Ten), 13, 7-6, 984, 5,177, 5.26, 44, 398.2
74, Idaho (Sun Belt), 13, 9-4, 920, 5,161, 5.61, 43, 397.0
75, Michigan St. (Big Ten), 12, 3-9, 841, 4,740, 5.64, 33, 395.0
76, Duke (ACC), 12, 4-8, 917, 4,720, 5.15, 37, 393.3
77, Ohio (MAC), 14, 8-6, 1,004, 5,492, 5.47, 39, 392.3
78, Central Mich. (MAC), 13, 6-7, 878, 5,096, 5.80, 41, 392.0
79, Hawaii (Mountain West), 14, 7-7, 915, 5,478, 5.99, 50, 391.3
80, Purdue (Big Ten), 12, 3-9, 918, 4,693, 5.11, 37, 391.1
81, Arizona St. (Pac-12), 12, 5-7, 900, 4,689, 5.21, 43, 390.8
82, South Alabama (Sun Belt), 13, 6-7, 884, 5,062, 5.73, 40, 389.4
83, Kansas St. (Big 12), 13, 9-4, 881, 5,054, 5.74, 49, 388.8
84, Akron (MAC), 12, 5-7, 776, 4,649, 5.99, 38, 387.4
85, Georgia Tech (ACC), 13, 9-4, 771, 5,034, 6.53, 43, 387.2
86, Rice (C-USA), 12, 3-9, 895, 4,618, 5.16, 39, 384.8
87, Georgia (SEC), 13, 8-5, 919, 5,001, 5.44, 34, 384.7
88, Nevada (Mountain West), 12, 5-7, 830, 4,586, 5.53, 38, 382.2
89, Wisconsin (Big Ten), 14, 11-3, 981, 5,350, 5.45, 45, 382.1
90, Nebraska (Big Ten), 13, 9-4, 923, 4,951, 5.36, 42, 380.8
91, UCLA (Pac-12), 12, 4-8, 839, 4,558, 5.43, 35, 379.8
91, Ga. Southern (Sun Belt), 12, 5-7, 870, 4,558, 5.24, 37, 379.8
93, Arkansas St. (Sun Belt), 13, 8-5, 919, 4,932, 5.37, 40, 379.4
94, San Jose St. (Mountain West), 12, 4-8, 851, 4,534, 5.33, 34, 377.8
95, Maryland (Big Ten), 13, 6-7, 875, 4,911, 5.61, 41, 377.8
96, Utah St. (Mountain West), 12, 3-9, 793, 4,515, 5.69, 35, 376.3
97, UTSA (C-USA), 13, 6-7, 907, 4,881, 5.38, 48, 375.5
98, FIU (C-USA), 12, 4-8, 830, 4,503, 5.43, 35, 375.3
99, Cincinnati (AAC), 12, 4-8, 850, 4,489, 5.28, 27, 374.1
100, ULM (Sun Belt), 12, 4-8, 876, 4,480, 5.11, 36, 373.3
101, Charlotte (C-USA), 12, 4-8, 897, 4,434, 4.94, 35, 369.5
102, UTEP (C-USA), 12, 4-8, 736, 4,430, 6.02, 41, 369.2
103, Stanford (Pac-12), 13, 10-3, 827, 4,772, 5.77, 35, 367.1
104, Miami (OH) (MAC), 13, 6-7, 842, 4,770, 5.67, 36, 366.9
105, Oregon St. (Pac-12), 12, 4-8, 795, 4,386, 5.52, 37, 365.5
106, Kansas (Big 12), 12, 2-10, 870, 4,314, 4.96, 27, 359.5
107, Minnesota (Big Ten), 13, 9-4, 886, 4,644, 5.24, 43, 357.2
108, Louisiana (Sun Belt), 13, 6-7, 929, 4,643, 5.00, 33, 357.2
109, Massachusetts (FBS Independent), 12, 2-10, 802, 4,274, 5.33, 37, 356.2
110, Vanderbilt (SEC), 13, 6-7, 891, 4,624, 5.19, 35, 355.7
111, Buffalo (MAC), 12, 2-10, 823, 4,245, 5.16, 23, 353.8
112, Virginia (ACC), 12, 2-10, 871, 4,235, 4.86, 36, 352.9
113, UCF (AAC), 13, 6-7, 975, 4,561, 4.68, 39, 350.8
114, Marshall (C-USA), 12, 3-9, 834, 4,200, 5.04, 40, 350.0
115, South Carolina (SEC), 13, 6-7, 877, 4,518, 5.15, 32, 347.5
116, Florida (SEC), 13, 9-4, 862, 4,472, 5.19, 29, 344.0
117, North Texas (C-USA), 13, 5-8, 875, 4,444, 5.08, 39, 341.8
118, Tulane (AAC), 12, 4-8, 849, 4,097, 4.83, 35, 341.4
119, Georgia St. (Sun Belt), 12, 3-9, 755, 4,007, 5.31, 27, 333.9
120, Fresno St. (Mountain West), 12, 1-11, 845, 3,951, 4.68, 24, 329.3
121, Iowa (Big Ten), 13, 8-5, 812, 4,225, 5.20, 40, 325.0
122, UConn (AAC), 12, 3-9, 798, 3,840, 4.81, 19, 320.0
123, Illinois (Big Ten), 12, 3-9, 711, 3,781, 5.32, 27, 315.1
124, Wake Forest (ACC), 13, 7-6, 886, 4,049, 4.57, 26, 311.5
125, Kent St. (MAC), 12, 3-9, 765, 3,710, 4.85, 26, 309.2
126, Texas St. (Sun Belt), 12, 2-10, 841, 3,628, 4.31, 27, 302.3
127, Boston College (ACC), 13, 7-6, 862, 3,807, 4.42, 30, 292.8
128, Rutgers (Big Ten), 12, 2-10, 821, 3,398, 4.14, 19, 283.2
, Coastal Carolina (FBS Independent), 12, 10-2, 798, 4,652, 5.83, 46, 387.7
