Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
1,Ohio St. (Big Ten),13,11-2,917,"7,300",7.96,70,561.5
2,Western Ky. (C-USA),14,9-5,"1,045","7,494",7.17,76,535.3
3,Virginia (ACC),12,6-6,892,"6,189",6.94,52,515.8
4,Kent St. (MAC),14,7-7,"1,053","6,933",6.58,57,495.2
5,Coastal Carolina (Sun Belt),13,11-2,831,"6,431",7.74,69,494.7
6,Ole Miss (SEC),13,10-3,"1,017","6,402",6.29,54,492.5
7,Alabama (SEC),15,13-2,"1,119","7,323",6.54,69,488.2
8,Pittsburgh (ACC),14,11-3,"1,069","6,812",6.37,70,486.6
9,Tennessee (SEC),13,7-6,952,"6,174",6.49,63,474.9
10,North Carolina (ACC),13,6-7,895,"6,088",6.80,56,468.3
11,Wake Forest (ACC),14,11-3,"1,084","6,550",6.04,70,467.9
12,Western Mich. (MAC),13,8-5,959,"6,063",6.32,54,466.4
13,SMU (AAC),12,8-4,890,"5,591",6.28,59,465.9
14,Fresno St. (Mountain West),13,10-3,953,"6,043",6.34,52,464.8
15,Florida (SEC),13,6-7,911,"6,017",6.60,53,462.8
16,Marshall (C-USA),13,7-6,940,"5,938",6.32,56,456.8
17,BYU (FBS Independent),13,10-3,868,"5,884",6.78,56,452.6
18,Oklahoma (Big 12),13,11-2,851,"5,863",6.89,61,451
19,Miami (FL) (ACC),12,7-5,879,"5,386",6.13,50,448.8
20,Nebraska (Big Ten),12,3-9,832,"5,371",6.46,45,447.6
21,Louisville (ACC),13,6-7,869,"5,801",6.68,50,446.2
22,Utah St. (Mountain West),14,11-3,"1,068","6,238",5.84,54,445.6
23,Southern California (Pac-12),12,4-8,901,"5,327",5.91,37,443.9
24,Central Mich. (MAC),13,9-4,968,"5,764",5.95,49,443.4
25,Michigan (Big Ten),14,12-2,969,"6,203",6.40,60,443.1
26,Georgia (SEC),15,14-1,952,"6,642",6.98,68,442.8
27,Arkansas (SEC),13,9-4,902,"5,742",6.37,48,441.7
28,Tulsa (AAC),13,7-6,960,"5,740",5.98,38,441.5
29,Mississippi St. (SEC),13,7-6,974,"5,739",5.89,47,441.5
30,App State (Sun Belt),14,10-4,980,"6,178",6.30,55,441.3
31,UCLA (Pac-12),12,8-4,854,"5,295",6.20,54,441.2
32,Maryland (Big Ten),13,7-6,928,"5,733",6.18,47,441
33,Purdue (Big Ten),13,9-4,967,"5,715",5.91,42,439.6
34,UTSA (C-USA),14,12-2,"1,003","6,146",6.13,57,439
35,Liberty (FBS Independent),13,8-5,889,"5,670",6.38,59,436.2
36,TCU (Big 12),12,5-7,783,"5,230",6.68,40,435.8
37,Toledo (MAC),13,7-6,860,"5,658",6.58,51,435.2
38,Memphis (AAC),12,6-6,861,"5,219",6.06,44,434.9
39,East Carolina (AAC),12,7-5,899,"5,200",5.78,41,433.3
40,Utah (Pac-12),14,10-4,946,"6,035",6.38,61,431.1
41,North Texas (C-USA),13,6-7,"1,033","5,597",5.42,44,430.5
42,Michigan St. (Big Ten),13,11-2,879,"5,581",6.35,50,429.3
42,Oregon St. (Pac-12),13,7-6,868,"5,581",6.43,52,429.3
44,NIU (MAC),14,9-5,"1,004","6,002",5.98,51,428.7
45,Notre Dame (FBS Independent),13,11-2,903,"5,541",6.14,53,426.2
46,Kentucky (SEC),13,10-3,862,"5,528",6.41,51,425.2
47,Texas (Big 12),12,5-7,803,"5,093",6.34,54,424.4
48,Nevada (Mountain West),13,8-5,909,"5,514",6.07,51,424.2
49,Iowa St. (Big 12),13,7-6,857,"5,511",6.43,47,423.9
50,Oregon (Pac-12),14,10-4,946,"5,931",6.27,56,423.6
51,Air Force (Mountain West),13,10-3,947,"5,502",5.81,52,423.2
52,Miami (OH) (MAC),13,7-6,879,"5,500",6.26,47,423.1
53,Baylor (Big 12),14,12-2,937,"5,918",6.32,53,422.7
54,Duke (ACC),12,3-9,934,"5,011",5.37,31,417.6
55,Oklahoma St. (Big 12),14,12-2,"1,067","5,843",5.48,50,417.4
56,Texas Tech (Big 12),13,7-6,824,"5,412",6.57,48,416.3
57,Colorado St. (Mountain West),12,3-9,911,"4,989",5.48,29,415.8
58,Cincinnati (AAC),14,13-1,862,"5,803",6.73,67,414.5
59,NC State (ACC),12,9-3,815,"4,973",6.10,46,414.4
60,Houston (AAC),14,12-2,977,"5,787",5.92,59,413.4
61,Missouri (SEC),13,6-7,918,"5,369",5.85,41,413
62,Buffalo (MAC),12,4-8,905,"4,905",5.42,42,408.8
63,Hawaii (Mountain West),13,6-7,893,"5,265",5.90,41,405
64,Louisiana (Sun Belt),14,13-1,984,"5,667",5.76,56,404.8
65,Charlotte (C-USA),12,5-7,824,"4,839",5.87,40,403.2
66,UCF (AAC),13,9-4,866,"5,232",6.04,56,402.5
67,Auburn (SEC),13,6-7,899,"5,219",5.81,39,401.5
68,Fla. Atlantic (C-USA),12,5-7,835,"4,800",5.75,38,400
69,Arkansas St. (Sun Belt),12,2-10,874,"4,756",5.44,31,396.3
70,UTEP (C-USA),13,7-6,847,"5,096",6.02,37,392
71,Texas A&M (SEC),12,8-4,788,"4,699",5.96,36,391.6
72,Georgia St. (Sun Belt),13,8-5,896,"5,044",5.63,44,388
73,Tulane (AAC),12,2-10,823,"4,638",5.64,42,386.5
74,UAB (C-USA),13,9-4,799,"5,024",6.29,47,386.5
75,Arizona St. (Pac-12),13,8-5,807,"5,018",6.22,46,386
75,California (Pac-12),12,5-7,784,"4,632",5.91,33,386
77,Louisiana Tech (C-USA),12,3-9,828,"4,612",5.57,38,384.3
78,Boise St. (Mountain West),12,7-5,870,"4,572",5.26,35,381
79,Eastern Mich. (MAC),13,7-6,910,"4,950",5.44,45,380.8
80,Florida St. (ACC),12,5-7,786,"4,553",5.79,41,379.4
81,Washington St. (Pac-12),13,7-6,856,"4,922",5.75,45,378.6
82,Penn St. (Big Ten),13,7-6,923,"4,893",5.30,36,376.4
83,Army West Point (FBS Independent),13,9-4,868,"4,881",5.62,57,375.5
84,Wyoming (Mountain West),13,7-6,840,"4,867",5.79,39,374.4
85,Old Dominion (C-USA),13,6-7,914,"4,850",5.31,37,373.1
86,Syracuse (ACC),12,5-7,779,"4,460",5.73,39,371.7
87,Ohio (MAC),12,3-9,747,"4,457",5.97,31,371.4
88,West Virginia (Big 12),13,6-7,899,"4,827",5.37,38,371.3
89,Wisconsin (Big Ten),13,9-4,867,"4,824",5.56,37,371.1
90,New Mexico St. (FBS Independent),12,2-10,890,"4,437",4.99,30,369.8
91,LSU (SEC),13,6-7,888,"4,790",5.39,41,368.5
92,South Alabama (Sun Belt),12,5-7,846,"4,409",5.21,37,367.4
93,Georgia Tech (ACC),12,3-9,786,"4,408",5.61,33,367.3
94,FIU (C-USA),12,1-11,750,"4,400",5.87,31,366.7
95,Kansas St. (Big 12),13,8-5,748,"4,710",6.30,43,362.3
96,Middle Tenn. (C-USA),13,7-6,919,"4,709",5.12,43,362.2
97,Rice (C-USA),12,4-8,818,"4,344",5.31,35,362
98,Virginia Tech (ACC),13,6-7,846,"4,693",5.55,33,361
99,Minnesota (Big Ten),13,9-4,858,"4,681",5.46,39,360.1
100,Clemson (ACC),13,10-3,903,"4,668",5.17,38,359.1
101,Arizona (Pac-12),12,1-11,870,"4,271",4.91,18,355.9
102,South Fla. (AAC),12,2-10,841,"4,211",5.01,31,350.9
103,Boston College (ACC),12,6-6,783,"4,201",5.37,34,350.1
104,Texas St. (Sun Belt),12,4-8,829,"4,112",4.96,32,342.7
105,San Diego St. (Mountain West),14,12-2,933,"4,791",5.14,42,342.2
106,Akron (MAC),12,2-10,783,"4,089",5.22,29,340.8
107,Ga. Southern (Sun Belt),12,3-9,811,"4,087",5.04,27,340.6
108,San Jose St. (Mountain West),12,5-7,754,"4,081",5.41,27,340.1
109,Troy (Sun Belt),12,5-7,785,"4,061",5.17,33,338.4
110,Ball St. (MAC),13,6-7,884,"4,398",4.98,35,338.3
111,South Carolina (SEC),13,7-6,828,"4,378",5.29,31,336.8
112,Illinois (Big Ten),12,5-7,790,"3,957",5.01,25,329.8
113,Kansas (Big 12),12,2-10,754,"3,890",5.16,30,324.2
114,Washington (Pac-12),12,4-8,779,"3,881",4.98,31,323.4
115,ULM (Sun Belt),12,4-8,868,"3,860",4.45,28,321.7
116,Northwestern (Big Ten),12,3-9,817,"3,859",4.72,25,321.6
117,Bowling Green (MAC),12,4-8,777,"3,802",4.89,27,316.8
118,Vanderbilt (SEC),12,2-10,831,"3,751",4.51,21,312.6
119,UNLV (Mountain West),12,2-10,726,"3,747",5.16,29,312.2
120,Rutgers (Big Ten),13,5-8,894,"4,042",4.52,29,310.9
121,Iowa (Big Ten),14,10-4,911,"4,252",4.67,30,303.7
122,Stanford (Pac-12),12,3-9,697,"3,625",5.20,29,302.1
123,Massachusetts (FBS Independent),12,1-11,747,"3,604",4.82,25,300.3
124,Indiana (Big Ten),12,2-10,818,"3,480",4.25,22,290
125,Temple (AAC),12,3-9,723,"3,449",4.77,22,287.4
126,Navy (AAC),12,4-8,791,"3,387",4.28,25,282.2
127,Southern Miss. (C-USA),12,3-9,752,"3,195",4.25,22,266.2
128,UConn (FBS Independent),12,1-11,784,"3,180",4.06,19,265
129,Colorado (Pac-12),12,4-8,707,"3,089",4.37,22,257.4
130,New Mexico (Mountain West),12,3-9,724,"2,819",3.89,15,234.9
